epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.8329,2.70383,4.72664,3.63831,0.01717,0.18876,0.01537,0.0049,1.8986,4.18,3.16667,0.070086,0.00332378,0.00332378
2,139.81,1.92184,3.40698,2.74544,0.21904,0.19438,0.11174,0.03333,1.59828,3.49041,2.63098,0.0400557,0.00662689,0.00662689
3,205.725,1.51981,2.8948,2.33275,0.23055,0.27416,0.15706,0.04795,1.40959,3.29437,2.42282,0.00999523,0.00989972,0.00989972
4,271.458,1.34934,2.65338,2.16689,0.26272,0.3,0.18844,0.06588,1.35333,2.74142,2.33957,0.00986377,0.00986377,0.00986377
5,337.56,1.28302,2.48277,2.07934,0.32334,0.31854,0.24165,0.0782,1.30437,2.61855,2.27597,0.00981836,0.00981836,0.00981836
6,403.693,1.20773,2.33144,2.0062,0.38405,0.34551,0.2875,0.10057,1.24251,2.31732,2.17319,0.00977295,0.00977295,0.00977295
7,469.898,1.17508,2.24823,1.97037,0.42769,0.34213,0.31873,0.11446,1.17603,2.45603,2.12155,0.00972755,0.00972755,0.00972755
8,535.892,1.14357,2.20002,1.9377,0.40869,0.37978,0.33323,0.11996,1.21234,2.20735,2.13862,0.00968214,0.00968214,0.00968214
9,602.253,1.11879,2.12747,1.91378,0.42154,0.39719,0.34492,0.12184,1.20013,2.21472,2.12585,0.00963673,0.00963673,0.00963673
10,668.539,1.09534,2.05662,1.88401,0.42271,0.37022,0.3476,0.13192,1.13171,2.2936,2.07522,0.00959132,0.00959132,0.00959132
11,735.268,1.08263,2.03023,1.86431,0.45112,0.37247,0.37466,0.14169,1.17045,1.97581,2.06218,0.00954591,0.00954591,0.00954591
12,801.367,1.06911,1.99947,1.86407,0.47716,0.40225,0.4019,0.15122,1.12619,1.95917,2.02895,0.0095005,0.0095005,0.0095005
13,867.714,1.06735,1.97503,1.84444,0.50785,0.42191,0.42269,0.16473,1.0921,1.92794,2.01636,0.00945509,0.00945509,0.00945509
14,934.282,1.04784,1.94064,1.83401,0.50165,0.43315,0.41432,0.16417,1.06794,1.92167,1.99376,0.00940968,0.00940968,0.00940968
15,1000.61,1.04036,1.91137,1.82609,0.53784,0.457,0.46498,0.17399,1.13199,1.89088,2.04171,0.00936427,0.00936427,0.00936427
16,1067.13,1.02942,1.89684,1.81212,0.52153,0.41629,0.43391,0.1753,1.10727,1.82173,2.01562,0.00931886,0.00931886,0.00931886
17,1133.57,1.0148,1.84386,1.79452,0.52819,0.41404,0.43544,0.18174,1.06399,1.85446,1.97803,0.00927345,0.00927345,0.00927345
18,1199.96,1.01033,1.84001,1.78167,0.54403,0.43708,0.46491,0.18833,1.06207,1.84004,1.94403,0.00922805,0.00922805,0.00922805
19,1266.52,0.99871,1.82675,1.76483,0.53463,0.46147,0.47851,0.19737,1.04147,1.74985,1.91347,0.00918264,0.00918264,0.00918264
20,1334.13,0.9972,1.81553,1.78361,0.56983,0.44663,0.48854,0.19343,1.06348,1.76804,1.96528,0.00913723,0.00913723,0.00913723
21,1400.93,0.97601,1.75727,1.75479,0.54327,0.46966,0.49492,0.20053,1.05603,1.76999,1.95454,0.00909182,0.00909182,0.00909182
22,1467.38,0.97248,1.75164,1.74257,0.57052,0.43258,0.46597,0.18649,1.07774,1.81793,1.9763,0.00904641,0.00904641,0.00904641
23,1534.09,0.96847,1.74497,1.75219,0.53683,0.46854,0.47674,0.19015,1.07599,1.7376,1.96669,0.009001,0.009001,0.009001
24,1600.69,0.96287,1.73413,1.74206,0.58635,0.45393,0.50276,0.20717,1.04335,1.68424,1.90513,0.00895559,0.00895559,0.00895559
25,1667.18,0.95162,1.71111,1.72768,0.5718,0.45986,0.48373,0.2083,1.0471,1.69153,1.93195,0.00891018,0.00891018,0.00891018
26,1733.76,0.95222,1.69761,1.73338,0.58309,0.45022,0.50452,0.21562,1.05089,1.69031,1.9407,0.00886477,0.00886477,0.00886477
27,1800.55,0.94763,1.6933,1.71687,0.5725,0.44539,0.50542,0.21593,1.03215,1.64337,1.91932,0.00881936,0.00881936,0.00881936
28,1866.97,0.93962,1.675,1.719,0.5685,0.47697,0.5125,0.22024,0.99897,1.6184,1.87332,0.00877395,0.00877395,0.00877395
29,1934.07,0.93609,1.64872,1.71376,0.62401,0.45225,0.52313,0.22408,1.03166,1.61855,1.91762,0.00872855,0.00872855,0.00872855
30,2000.82,0.92779,1.63373,1.70051,0.61429,0.44737,0.51785,0.22459,1.04303,1.63723,1.91742,0.00868314,0.00868314,0.00868314
31,2067.99,0.92216,1.61963,1.69697,0.62982,0.48764,0.53571,0.22962,1.00942,1.63823,1.89102,0.00863773,0.00863773,0.00863773
32,2134.63,0.92761,1.61248,1.69885,0.63457,0.46517,0.53218,0.23674,1.00776,1.58504,1.8895,0.00859232,0.00859232,0.00859232
33,2201.15,0.91563,1.60806,1.68406,0.59012,0.50112,0.52843,0.22948,1.03831,1.59717,1.91165,0.00854691,0.00854691,0.00854691
34,2267.63,0.90795,1.56589,1.6866,0.63458,0.48876,0.55062,0.2434,1.00417,1.5602,1.88106,0.0085015,0.0085015,0.0085015
35,2334.12,0.91415,1.56219,1.6789,0.61849,0.49091,0.55224,0.24551,1.01105,1.53015,1.9039,0.00845609,0.00845609,0.00845609
36,2400.63,0.89917,1.5463,1.6781,0.61197,0.49795,0.55298,0.24791,0.99761,1.54303,1.87682,0.00841068,0.00841068,0.00841068
37,2466.89,0.89981,1.53379,1.68793,0.61305,0.47697,0.53707,0.24264,1.02165,1.54932,1.90367,0.00836527,0.00836527,0.00836527
38,2533.35,0.88881,1.51963,1.65975,0.62751,0.5073,0.55796,0.2485,1.00009,1.5018,1.87493,0.00831986,0.00831986,0.00831986
39,2600.71,0.89036,1.51005,1.65429,0.65443,0.48652,0.55393,0.24958,1.00263,1.56994,1.88469,0.00827445,0.00827445,0.00827445
40,2667.23,0.88519,1.5054,1.65462,0.62664,0.50787,0.56059,0.25287,1.00517,1.50062,1.88878,0.00822905,0.00822905,0.00822905
41,2733.66,0.88457,1.50746,1.64953,0.60706,0.53146,0.57859,0.25476,0.99698,1.50192,1.86087,0.00818364,0.00818364,0.00818364
42,2800.12,0.8749,1.47376,1.64738,0.64591,0.48989,0.56601,0.25835,0.98317,1.48217,1.86334,0.00813823,0.00813823,0.00813823
43,2866.95,0.87939,1.47423,1.65339,0.63533,0.5344,0.58571,0.26624,1.00334,1.46005,1.88155,0.00809282,0.00809282,0.00809282
44,2933.5,0.875,1.48525,1.65203,0.6285,0.51742,0.58292,0.26918,0.97949,1.47371,1.84388,0.00804741,0.00804741,0.00804741
45,3000.02,0.8615,1.43444,1.63694,0.65781,0.51407,0.58193,0.26189,0.99436,1.4533,1.85506,0.008002,0.008002,0.008002
46,3066.97,0.85935,1.42807,1.63235,0.68504,0.50833,0.59323,0.27181,0.98329,1.43588,1.86345,0.00795659,0.00795659,0.00795659
47,3135.08,0.85955,1.43039,1.62597,0.674,0.53708,0.60191,0.27378,0.97885,1.39625,1.84757,0.00791118,0.00791118,0.00791118
48,3202.16,0.8604,1.42173,1.61794,0.68115,0.5073,0.59501,0.28177,0.95715,1.40275,1.81793,0.00786577,0.00786577,0.00786577
49,3268.54,0.8514,1.4077,1.62202,0.65802,0.52079,0.58081,0.27552,0.97341,1.46133,1.85186,0.00782036,0.00782036,0.00782036
50,3335.24,0.84521,1.40325,1.61821,0.63912,0.53428,0.58875,0.2721,0.97243,1.42533,1.83792,0.00777495,0.00777495,0.00777495
51,3402.13,0.84312,1.39249,1.61038,0.64065,0.54719,0.60259,0.28851,0.96616,1.39231,1.82845,0.00772955,0.00772955,0.00772955
52,3468.83,0.83758,1.37619,1.60789,0.67289,0.53876,0.60796,0.28882,0.95544,1.38909,1.81406,0.00768414,0.00768414,0.00768414
53,3535.32,0.83879,1.38173,1.61268,0.65636,0.53315,0.59524,0.27858,0.98769,1.39304,1.87184,0.00763873,0.00763873,0.00763873
