epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3125.76,0.82852,1.29302,1.53886,0.68073,0.48596,0.56913,0.26723,0.96162,1.32103,1.77167,0.00813823,0.00813823,0.00813823
43,3201.42,0.83521,1.29648,1.53976,0.63275,0.53652,0.58318,0.27176,0.95191,1.28372,1.75243,0.00809282,0.00809282,0.00809282
44,3275.93,0.82931,1.30235,1.53947,0.67372,0.48876,0.57467,0.27012,0.95744,1.29796,1.77135,0.00804741,0.00804741,0.00804741
45,3350,0.8176,1.26495,1.52452,0.65996,0.51011,0.57356,0.27097,0.94788,1.29764,1.75153,0.008002,0.008002,0.008002
46,3424.03,0.81119,1.2607,1.51725,0.65345,0.50899,0.58336,0.27411,0.93627,1.30284,1.73838,0.00795659,0.00795659,0.00795659
47,3497.85,0.817,1.26289,1.51557,0.65747,0.53271,0.58888,0.27374,0.94869,1.28253,1.74054,0.00791118,0.00791118,0.00791118
48,3575.25,0.81147,1.25988,1.5085,0.6888,0.50235,0.58537,0.28116,0.94856,1.26777,1.7502,0.00786577,0.00786577,0.00786577
49,3658.47,0.80322,1.23732,1.50577,0.68062,0.5148,0.58155,0.27724,0.95389,1.27093,1.75997,0.00782036,0.00782036,0.00782036
50,3736.36,0.80513,1.23923,1.51382,0.67408,0.52135,0.58426,0.27989,0.95365,1.25635,1.74862,0.00777495,0.00777495,0.00777495
51,3811.36,0.7956,1.22943,1.49938,0.67269,0.51612,0.58665,0.27839,0.94053,1.26809,1.73865,0.00772955,0.00772955,0.00772955
52,3886.54,0.79126,1.21483,1.49377,0.69859,0.51517,0.59292,0.28507,0.92991,1.22843,1.72659,0.00768414,0.00768414,0.00768414
53,3960.69,0.79375,1.21751,1.4999,0.65255,0.53146,0.59107,0.28135,0.93366,1.22073,1.72547,0.00763873,0.00763873,0.00763873
54,4034.35,0.78621,1.1992,1.4846,0.66572,0.52528,0.59377,0.28581,0.92387,1.20941,1.71952,0.00759332,0.00759332,0.00759332
55,4107.67,0.78296,1.19627,1.48115,0.67649,0.53989,0.60334,0.29224,0.92499,1.22922,1.72455,0.00754791,0.00754791,0.00754791
56,4181.21,0.77394,1.18103,1.48184,0.67762,0.53989,0.60506,0.29529,0.94196,1.22514,1.74096,0.0075025,0.0075025,0.0075025
57,4254.68,0.77264,1.18532,1.47653,0.68625,0.51461,0.59796,0.2889,0.93928,1.22352,1.74835,0.00745709,0.00745709,0.00745709
58,4329.22,0.77163,1.17006,1.47317,0.67116,0.52171,0.6014,0.29414,0.93059,1.22228,1.74035,0.00741168,0.00741168,0.00741168
59,4407.52,0.77249,1.17323,1.46723,0.68301,0.52293,0.59629,0.29303,0.91309,1.20441,1.70694,0.00736627,0.00736627,0.00736627
60,4484.34,0.76565,1.15665,1.46693,0.70528,0.52297,0.61119,0.30062,0.91728,1.19293,1.723,0.00732086,0.00732086,0.00732086
61,4561.25,0.7568,1.14343,1.45651,0.6697,0.56348,0.61724,0.30667,0.90542,1.18248,1.69227,0.00727545,0.00727545,0.00727545
62,4639.74,0.75006,1.13775,1.45058,0.66345,0.54551,0.61272,0.30521,0.9096,1.18784,1.70347,0.00723005,0.00723005,0.00723005
63,4715.99,0.75048,1.13278,1.44705,0.68694,0.5683,0.63051,0.31455,0.91741,1.15567,1.72663,0.00718464,0.00718464,0.00718464
64,4791.9,0.7469,1.12738,1.44666,0.6689,0.55393,0.61182,0.30249,0.91413,1.1876,1.70231,0.00713923,0.00713923,0.00713923
65,4867.88,0.74498,1.12138,1.44173,0.67097,0.54418,0.62269,0.30737,0.90403,1.15688,1.6982,0.00709382,0.00709382,0.00709382
66,4942.69,0.73631,1.10341,1.43664,0.66838,0.5573,0.61822,0.31056,0.8895,1.15458,1.68699,0.00704841,0.00704841,0.00704841
67,5017.67,0.73671,1.10321,1.43162,0.68384,0.55,0.63144,0.31477,0.89027,1.14687,1.68269,0.007003,0.007003,0.007003
68,5092.9,0.7275,1.09663,1.42883,0.69995,0.51966,0.61597,0.30817,0.8984,1.16142,1.70148,0.00695759,0.00695759,0.00695759
69,5166.75,0.72513,1.09122,1.42501,0.67682,0.55415,0.6195,0.3127,0.90085,1.15095,1.69069,0.00691218,0.00691218,0.00691218
70,5240.6,0.72651,1.09607,1.42515,0.66136,0.56854,0.6245,0.3165,0.89077,1.14349,1.69627,0.00686677,0.00686677,0.00686677
